Original,Part of,Translation
Improved Devastating Strike,Improved Devastating Strike  +2 per die,Golpe Devastante Aprimorado
per die,Improved Devastating Strike  +2 per die,por dado
Cleave,Cleave    Extra attack if you hit,Trespassar
Extra attack if you hit,Cleave    Extra attack if you hit,Ataque extra se você acertar
Allied Spellcaster,Allied Spellcaster    +2 to overcome spell resistance,Conjurador Mágico Aliado
to overcome spell resistance,Allied Spellcaster    +2 to overcome spell resistance,para superar resistência à magia
ENERGY,ENERGY|RESISTANCE,ENERGIA
RESISTANCE,ENERGY|RESISTANCE,RESISTÊNCIA
(which grants,(which grants +16 to Acrobatics),(concede
to Acrobatics),(which grants +16 to Acrobatics),para acrobacias)
FLURRY OF BLOWS,FLURRY OF BLOWS|BASE ATTACK BONUS,RAJADA DE GOLPES
BASE ATTACK BONUS,FLURRY OF BLOWS|BASE ATTACK BONUS,BÔNUS BASE DE ATAQUE
Bonus to touch,Bonus to touch AC and CMD when only in light armour,Bônus para tocar
AC,Bonus to touch AC and CMD when only in light armour,CA
and,Bonus to touch AC and CMD when only in light armour,e
CMD,Bonus to touch AC and CMD when only in light armour,DMC
when only in light armour,Bonus to touch AC and CMD when only in light armour,somente enquanto usar armadura leve
SAVE,SAVE DC,TESTE
DC,SAVE DC,CD
INTIMIDATE,INTIMIDATE|BONUS,INTIMIDAR
BONUS,INTIMIDATE|BONUS,BÔNUS
BLOODRAGE!,BLOODRAGE!  DURATION|PER DAY,FÚRIA SANGUÍNEA!
DURATION,BLOODRAGE!  DURATION|PER DAY,DURAÇÃO
PER DAY,BLOODRAGE!  DURATION|PER DAY,POR DIA
Tireless,Tireless RAGE!,FÚRIA!
RAGE!,Tireless RAGE!,Incansável
Forbidden|During,Forbidden|During|RAGE!,Duração Proibida
RAGE!,Forbidden|During|RAGE!,FÚRIA!
RAGE,RAGE POWERS |KNOWN,FÚRIA
POWERS,RAGE POWERS |KNOWN,PODERES
KNOWN,RAGE POWERS |KNOWN,CONHECIMENTO
insight to,"+2 insight to AC and CMD|+4 to Sense Motive, Stealth, Perception",Ao Invés de
AC,"+2 insight to AC and CMD|+4 to Sense Motive, Stealth, Perception",CD
and,"+2 insight to AC and CMD|+4 to Sense Motive, Stealth, Perception",e
CMD,"+2 insight to AC and CMD|+4 to Sense Motive, Stealth, Perception",DMC
