Original,Part of,Translation
loyalty,-1 loyalty,忠誠
Greater,Greater RAGE!,大
RAGE!,Greater RAGE!,狂暴!
COMBAT MANOEUVRE,COMBAT MANOEUVRE|DEFENCE,戰技
DEFENCE,COMBAT MANOEUVRE|DEFENCE,防護
Level,400’+ 40’ × Level,等級
SNEAK DAMAGE,SNEAK DAMAGE|BONUS,偷襲傷害
BONUS,SNEAK DAMAGE|BONUS,加值
ARMOUR|CLASS,ARMOUR|CLASS|PENALTY,防禦|等級
PENALTY,ARMOUR|CLASS|PENALTY,減值
Escape Route,Escape Route    Don’t provoke AoO when adjacent to an ally,確保退路
Don’t provoke AoO when adjacent to an ally,Escape Route    Don’t provoke AoO when adjacent to an ally,同伴鄰接時不引發藉機攻擊
GREATER,GREATER RAGE!,大
RAGE!,GREATER RAGE!,狂暴!
Nature Sense,Nature Sense|+2 to Knowledge (nature) and Survival,自然智識
+2 to Knowledge (nature) and Survival,Nature Sense|+2 to Knowledge (nature) and Survival,知識（自然）和生存技能檢定+2。
FATIGUED,FATIGUED|DURATION,疲乏
DURATION,FATIGUED|DURATION,持續時間
Level,100’+ 10’ × Level,等級
OPPOSED,OPPOSED SCHOOLS,對立
SCHOOLS,OPPOSED SCHOOLS,學派
dodge bonus for each adjacent enemy,+1 dodge bonus for each adjacent enemy,閃避加值，每個鄰接敵人一次
Shielded Caster,Shielded Caster    +4 to concentration checks,持盾施法
to concentration checks,Shielded Caster    +4 to concentration checks,於專注檢定
Fast Movement,Fast Movement +30 ft,快速移動
+30 ft,Fast Movement +30 ft,+30 呎
"stability,","+1 stability, +1bp consumption","穩定,"
+1bp,"+1 stability, +1bp consumption",+1bp
consumption,"+1 stability, +1bp consumption",消耗
DAMAGE,DAMAGE|BONUS,傷害
BONUS,DAMAGE|BONUS,加值
Treated as an Outsider,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,被視為異界生物
Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,免疫魅惑人類及針對非異界生物的效果|傷害減免
Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,免疫魅惑人類及針對非異界生物的效果|傷害減免10 / 混亂
10/chaotic,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,10 / 混亂
ENERGY,ENERGY|ROLL,能量
ROLL,ENERGY|ROLL,骰數
= 1d4,= 1d4 +,= 1d4
WIS,(WIS minimum 1),WIS
minimum 1),(WIS minimum 1),最少為 1)
Allied Spellcaster,Allied Spellcaster    +2 to overcome spell resistance,團隊法師
to overcome spell resistance,Allied Spellcaster    +2 to overcome spell resistance,於克服法術抗力的CL檢定
INT,+ INT| per level,INT
per level,+ INT| per level,每等級
DURATION,DURATION|PER DAY,每日
PER DAY,DURATION|PER DAY,可用時長
WILL,WILL|SAVE DC,意志
WILL|SAVE,WILL|SAVE DC,意志|豁免
SAVE DC,WILL|SAVE DC,豁免DC
DC,WILL|SAVE DC,DC
Damage Reduction 3/,Damage Reduction 3/―,傷害減免3 / —
Broken Wing Gambit,"Broken Wing Gambit    Grant +2 / +2, get attack of opportunity",棄兵斷翼
Grant,"Broken Wing Gambit    Grant +2 / +2, get attack of opportunity",敵人獲得
", get attack of opportunity","Broken Wing Gambit    Grant +2 / +2, get attack of opportunity",",引發藉機攻擊"
Mountain Stance,"Mountain Stance|Immune to petrification, +4 to saves and CMDagainst attempts to move",卓然而立
"Immune to petrification, +4 to saves and CMDagainst attempts to move","Mountain Stance|Immune to petrification, +4 to saves and CMDagainst attempts to move",免疫石化，對抗移位效果戰技時豁免或CMD有+4加值
REFLEX,REFLEX SAVE,反射
SAVE,REFLEX SAVE,豁免
Coordinated Charge,Coordinated Charge    Charge the same foe as an ally,協同衝鋒
Charge the same foe as an ally,Coordinated Charge    Charge the same foe as an ally,與同伴同時發動衝鋒
1d10,1d10 → 2d8 → 3d8 → 4d8 → 6d8 → 8d8 → 12d8,1d10
2d8,1d10 → 2d8 → 3d8 → 4d8 → 6d8 → 8d8 → 12d8,2d8
3d8,1d10 → 2d8 → 3d8 → 4d8 → 6d8 → 8d8 → 12d8,3d8
4d8,1d10 → 2d8 → 3d8 → 4d8 → 6d8 → 8d8 → 12d8,4d8
6d8,1d10 → 2d8 → 3d8 → 4d8 → 6d8 → 8d8 → 12d8,6d8
8d8,1d10 → 2d8 → 3d8 → 4d8 → 6d8 → 8d8 → 12d8,8d8
12d8,1d10 → 2d8 → 3d8 → 4d8 → 6d8 → 8d8 → 12d8,12d8
ATTACK,ATTACK|BONUS,攻擊
BONUS,ATTACK|BONUS,加值
Weapon Mastery,Weapon Mastery    Increased critical range and always confirm critical hits,武器宗師
Increased critical range and always confirm critical hits,Weapon Mastery    Increased critical range and always confirm critical hits,重擊確認自動成功，並且重擊時的傷害倍率將會額外加1
"economy,","+1 economy, -1 loyalty","經濟,"
loyalty,"+1 economy, -1 loyalty",忠誠
FLAT-FOOTED,FLAT-FOOTED AC,措手不及
AC,FLAT-FOOTED AC,AC
Purity of Body,Purity of Body|Immune to all diseases,百病不侵
Immune to all diseases,Purity of Body|Immune to all diseases,免疫所有疾病
loyalty,+1 loyalty,忠誠
TRAP SENSE,TRAP SENSE|BONUS,陷阱感知
BONUS,TRAP SENSE|BONUS,加值
RAGE!,RAGE!|TODAY,今日
TODAY,RAGE!|TODAY,狂暴!
KNOWLEDGE,KNOWLEDGE |BONUS,知識
BONUS,KNOWLEDGE |BONUS,加值
"stability,","+2 stability, +2bp consumption","穩定,"
+2bp,"+2 stability, +2bp consumption",+2bp
consumption,"+2 stability, +2bp consumption",消耗
RAGE!,RAGE!  DURATION|PER DAY,狂暴!
DURATION,RAGE!  DURATION|PER DAY,每日
PER DAY,RAGE!  DURATION|PER DAY,持續時間
ARCANE SPELL FAILURE,ARCANE SPELL FAILURE|THRESHOLD,奧術失敗率
THRESHOLD,ARCANE SPELL FAILURE|THRESHOLD,閾值
Cavalry Formation,"Cavalry Formation    Share space, charge through allied mount",騎兵列隊
"Share space, charge through allied mount","Cavalry Formation    Share space, charge through allied mount",共享空間，衝鋒時互不阻擋
Duck and Cover,Duck and Cover    Take ally’s result on reflex save,庇護
Take ally’s result on reflex save,Duck and Cover    Take ally’s result on reflex save,使用盟友的反射豁免結果
EVIL DAMAGE,EVIL DAMAGE|BONUS,邪惡傷害
BONUS,EVIL DAMAGE|BONUS,加值
FEAR EFFECT,FEAR EFFECT|WILL BONUS,恐懼效果
WILL BONUS,FEAR EFFECT|WILL BONUS,意志加值
Feint Partner,"Feint Partner    When ally feints, enemy loses DEX bonus to AC",聯合虛招
"When ally feints, enemy loses","Feint Partner    When ally feints, enemy loses DEX bonus to AC",同伴虛招成功的對象失去
DEX,"Feint Partner    When ally feints, enemy loses DEX bonus to AC",DEX
bonus to,"Feint Partner    When ally feints, enemy loses DEX bonus to AC",加值於
AC,"Feint Partner    When ally feints, enemy loses DEX bonus to AC",AC
KI POOL,KI POOL|CAPACITY,丹田氣池
CAPACITY,KI POOL|CAPACITY,容量
Back to Back,Back to Back     +2 to AC against flanking,背靠背
to,Back to Back     +2 to AC against flanking,
AC,Back to Back     +2 to AC against flanking,AC
against flanking,Back to Back     +2 to AC against flanking,於被夾擊時
Heal your own wounds -,Heal your own wounds - 2 ki points,治療自己
2 ki points,Heal your own wounds - 2 ki points,2點氣
(which grants,(which grants +12 to Acrobatics checks for jumping),(獲得
to Acrobatics checks for jumping),(which grants +12 to Acrobatics checks for jumping),種族加值於跳躍特技檢定)
temporary ki point (for 1 hour) on drinking,+1 temporary ki point (for 1 hour) on drinking,臨時氣量(保留1小時)，在飲酒時
Cleaving Finish,Cleaving Finish    Extra attack if enemy is knocked out,終勢斬
Extra attack if enemy is knocked out,Cleaving Finish    Extra attack if enemy is knocked out,擊倒敵人獲得額外攻擊
TOUCH,TOUCH AC,接觸
AC,TOUCH AC,AC
