Original,Part of,Translation
FORWARD,FORWARD SHIELDS,BOUCLIERS
SHIELDS,FORWARD SHIELDS,PROUE
Intelligence,"Intelligence – If vacant, -4 economy and +1 unrest at upkeep",Renseignement
"– If vacant,","Intelligence – If vacant, -4 economy and +1 unrest at upkeep","- Si vacant,"
economy and,"Intelligence – If vacant, -4 economy and +1 unrest at upkeep",en économie et
unrest at upkeep,"Intelligence – If vacant, -4 economy and +1 unrest at upkeep",en insécurité au maintien
Slip magically between spaces -,Slip magically between spaces - 2 ki points,Se faufile magiquement dans les espaces -
2 ki points,Slip magically between spaces - 2 ki points,2 points de ki
RESOLVE,RESOLVE POINTS,POINTS DE
POINTS,RESOLVE POINTS,PERSÉVÉRANCE
For skills where you have both expertise and,"For skills where you have both expertise and Skill Focus,|roll the expertise die twice, take better result.",Pour les compétences pour lesquelles vous avez l'expertise|et 
Skill Focus,"For skills where you have both expertise and Skill Focus,|roll the expertise die twice, take better result.",Talent
",|roll the expertise die twice, take better result.","For skills where you have both expertise and Skill Focus,|roll the expertise die twice, take better result.",", lancez le dé deux fois et prenez le meilleur résultat."
Point-blank shot,Point-blank shot    Within 30ft,Tir à bout portant
Within,Point-blank shot    Within 30ft,À moins de
30ft,Point-blank shot    Within 30ft,9m
Back to Back,Back to Back     +2 to AC against flanking,Dos à dos
to,Back to Back     +2 to AC against flanking,à la
AC,Back to Back     +2 to AC against flanking,CA
against flanking,Back to Back     +2 to AC against flanking,contre les tenailles
MASTER STRIKE,MASTER STRIKE|FORTITUDE DC,COUP DE MAÎTRE
CONDITIONAL,CONDITIONAL MODIFIERS,MODIFICATEURS DE 
MODIFIERS,CONDITIONAL MODIFIERS,CIRCONSTANCES
Precise Shot,Precise Shot    Attack into melee without the -4 penalty,Tir de précision
Attack into melee without the -4 penalty,Precise Shot    Attack into melee without the -4 penalty,Pas de malus pour tirer dans la mêlée
Treated as an Outsider,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,Considéré comme Planaire
Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,Immunisé à Charme Personne et autres effets qui|ciblent les non-planaires.|Réduction de Dommages
10/chaotic,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,10/chaotique
PORT,PORT SHIELDS,BOUCLIERS
SHIELDS,PORT SHIELDS,BÂBORD
FOES,FOES|PER DAY,ENNEMIS
PER DAY,FOES|PER DAY,PAR JOUR
Half of Ranger’s|Favoured Enemy|bonus granted to|allies within,Half of Ranger’s|Favoured Enemy|bonus granted to|allies within 30ft,La moitié du bonus|d'ennemi juré de rôdeur|est donnée aux alliés|à moins de
30ft,Half of Ranger’s|Favoured Enemy|bonus granted to|allies within 30ft,9m
Slow Fall,Slow Fall 40 ft,Chute ralentie
40 ft,Slow Fall 40 ft,12 m
Improved snap shot,Improved snap shot    AoO with a ranged weapon within 15ft,Science du tir soudain
AoO with a ranged weapon within,Improved snap shot    AoO with a ranged weapon within 15ft,"Avec arme à distance, menace les cases à"
15ft,Improved snap shot    AoO with a ranged weapon within 15ft,"4,5m"
DC,DC 15,DD
IMMUNE TO,IMMUNE TO|FEAR,IMMUNISÉ CONTRE
FEAR,IMMUNE TO|FEAR,LA PEUR
Fast Movement,Fast Movement +50 ft,Déplacement accéléré
+50 ft,Fast Movement +50 ft,+15 m
WITHDRAW,"WITHDRAW    Gain 2000gp per bp. Increase unrest by 1, then make a loyalty check",RETRAIT
"Gain 2000gp per bp. Increase unrest by 1, then make a loyalty check","WITHDRAW    Gain 2000gp per bp. Increase unrest by 1, then make a loyalty check","Gagne 2000po par pc. Augmenter l'insécurité de 1, puis faire un test de loyauté"
ETHERIAL,ETHERIAL|ROUNDS,ETHERE
ROUNDS,ETHERIAL|ROUNDS,TOURS
ft,15 ft  3 sq,m
sq,15 ft  3 sq,ca
Critical Mastery,Critical Mastery    Apply two critical effects at once,Maîtrise du critique
Apply two critical effects at once,Critical Mastery    Apply two critical effects at once,Appliquer deux effets de critique à la fois
ATTACK,ATTACK BONUS,ATTAQUE
BONUS,ATTACK BONUS,BONUS
