Original,Part of,Translation
Strength,Strength +4,Forza
PANACHE,PANACHE|PER DAY,ELEGANZA
PER DAY,PANACHE|PER DAY,Al GIORNO
No action this round|Lose,No action this round|Lose DEX bonus to AC; -2 AC,Nessuna azione questo round|Perde
DEX,No action this round|Lose DEX bonus to AC; -2 AC,il bonus
bonus to,No action this round|Lose DEX bonus to AC; -2 AC,DES
bonus to AC; -2,No action this round|Lose DEX bonus to AC; -2 AC,alla CA; -2
AC,No action this round|Lose DEX bonus to AC; -2 AC,alla CA
2 points,Intelligence or Wisdom nerf -2 points,2 punti
Spell Recall,Spell Recall|Reprepare any spell already cast today,Ricordare Incantesimi
Reprepare any spell already cast today,Spell Recall|Reprepare any spell already cast today,Ricorda un incantesimo già lanciato oggi
EVOLUTION,EVOLUTION|POOL,RISERVA PUNTI
POOL,EVOLUTION|POOL,EVOLUZIONE
DC,DC +1,CD
SUBTOTAL,SUBTOTAL BUFFS & TEAMWORK,SOTTOTOTALE
BUFFS & TEAMWORK,SUBTOTAL BUFFS & TEAMWORK,INCREMENTI & SQUADRA
CONCENTRATION,CONCENTRATION|CHECK DC,CONCENTRAZIONE
CHECK DC,CONCENTRATION|CHECK DC,CD PROVA
Level,Level 8,Livello
Slip magically between spaces -,Slip magically between spaces - 2 ki points,Infilarsi magicamente fra gli spazi -
2 ki points,Slip magically between spaces - 2 ki points,2 punti Ki
Devastating Strike,Devastating Strike    +2 per extra die,Colpo Devastante
per extra die,Devastating Strike    +2 per extra die,per dado extra
"economy,","+3 economy, -4 loyalty","Economia,"
loyalty,"+3 economy, -4 loyalty",Lealtà
(psychometabolism),Egoist (psychometabolism),(psicometabolismo)
"stability,","+4 stability, +8bp consumption","stabilità,"
+8bp,"+4 stability, +8bp consumption",+8 consumo
consumption,"+4 stability, +8bp consumption",bp
Slow Fall,Slow Fall 20 ft,Caduta lenta
20 ft,Slow Fall 20 ft,3 m
Lookout,Lookout    Act in surprise round if ally can act,In Guardia
Act in surprise round if ally can act,Lookout    Act in surprise round if ally can act,Agire in round sorpresa se può un alleato
ETHERIAL,ETHERIAL|ROUNDS,ETEREO
ROUNDS,ETHERIAL|ROUNDS,ROUND
Improved Two-weapon Fighting,Improved Two-weapon Fighting    Second attack with your off-hand weapon,Combattere con Due Armi Migliorato
Second attack with your off-hand weapon,Improved Two-weapon Fighting    Second attack with your off-hand weapon,Secondo attacco con l'arma secondaria
AC,-2 AC   -6 AC against yourself,CA
against yourself,-2 AC   -6 AC against yourself," contro te stesso"
VESTIGE,VESTIGE NAME,VESTIGIA
NAME,VESTIGE NAME,NOME
SAVE,SAVE DC,CD
DC,SAVE DC,TIRO SALVEZZA
Lose,"Lose DEX bonus to AC; -2 AC|-4 on STR, DEX skills, opposed Perception|50% miss chance when attacking|DC 10 Acrobatics to move more than half speed",Perdi bonus
