Original,Part of,Translation
MAX HIT DICE,TO DESTROY CREATURE  MAX HIT DICE,MAX KW
Strength Score|Penalty:,Strength Score|Penalty: -2,Wartość Siły|Kara:
Liases with the people,"Liases with the people – If vacant, -2 loyalty, +1 unrest at upkeep and no bonus from festivals",Porozumiewa się z ludźmi
"– If vacant,","Liases with the people – If vacant, -2 loyalty, +1 unrest at upkeep and no bonus from festivals",- Jeśli nieobecny
"loyalty,","Liases with the people – If vacant, -2 loyalty, +1 unrest at upkeep and no bonus from festivals","lojalności,"
unrest at upkeep and no bonus from festivals,"Liases with the people – If vacant, -2 loyalty, +1 unrest at upkeep and no bonus from festivals",zamieszek na utrzymanie i brak premii z festiwali
1 ki point,"Ignore concealment - 1 ki point|Ignore total concealment or cover - 2 ki point|Ignore total cover, fire around corners - 3 ki point",1 punkt ki
2 ki point,"Ignore concealment - 1 ki point|Ignore total concealment or cover - 2 ki point|Ignore total cover, fire around corners - 3 ki point",2 punkty ki
3 ki point,"Ignore concealment - 1 ki point|Ignore total concealment or cover - 2 ki point|Ignore total cover, fire around corners - 3 ki point",3 punkty ki
STUNNING FIST,STUNNING FIST|TODAY,OSZAŁAMIAJĄCA PIĘŚĆ
TODAY,STUNNING FIST|TODAY,DZIŚ
Slow Fall,Slow Fall 40 ft,Powolny Upadek
40 ft,Slow Fall 40 ft,12m
RAGE!,EXTRA|RAGE!,SZAŁ!
Cost:,Cost: 2 pt,Koszt:
2 pt,Cost: 2 pt,2ptk
NIMBLE,NIMBLE|DODGE BONUS,ZWINNOŚĆ
DODGE BONUS,NIMBLE|DODGE BONUS,PREMIA DO UNIKU
Morale Bonus,Morale Bonus    Inspire Courage and similar,Premia z Morali
Inspire Courage and similar,Morale Bonus    Inspire Courage and similar,Inspiruje odwagę i podobne
Shielded Caster,Shielded Caster    +4 to concentration checks,Obrona Czarującego
to concentration checks,Shielded Caster    +4 to concentration checks,do testów koncentracji
WITHDRAW,"WITHDRAW    Gain 2000gp per bp. Increase unrest by 1, then make a loyalty check",WYCIĄG
"Gain 2000gp per bp. Increase unrest by 1, then make a loyalty check","WITHDRAW    Gain 2000gp per bp. Increase unrest by 1, then make a loyalty check",Zdobądź 2000sg na pb. Zwiększ niepokój o 1 i wykonaj test na lojalność
GRAPPLE,GRAPPLE BONUS,ZWARCIE
BONUS,GRAPPLE BONUS,PREMIA
Cost:,Cost: 1 pt,Koszt:
1 pt,Cost: 1 pt,1 ptk
(which grants,(which grants +16 to Acrobatics),zapewnia
to Acrobatics),(which grants +16 to Acrobatics),do Zwinności
FASCINATE,FASCINATE|MAX AUDIENCE,FASCYNACJA
MAX AUDIENCE,FASCINATE|MAX AUDIENCE,PEŁNA UWAGA
Level,100’+ 10’ × Level,Poziom
Acrobatics DC = 5 + Opponent’s,Acrobatics DC = 5 + Opponent’s CMD,ST Zwinności = 5 + Wrogie
CMD,Acrobatics DC = 5 + Opponent’s CMD,OMB
"loyalty,","+4 loyalty, +8bp consumption","lojalności,"
+8bp,"+4 loyalty, +8bp consumption",+8pb
consumption,"+4 loyalty, +8bp consumption",konsumpcji
"+2 Diplomacy, Knowledge (local, history,nobility)","Lorekeeper|+2 Diplomacy, Knowledge (local, history,nobility)","+2 do Dyplomacji, Wiedzy (lokalna, historia, szlachta)"
KI POWER,KI POWER |PER DAY,MOC KI
PER DAY,KI POWER |PER DAY,NA DZIEŃ
SETTLE,SETTLE    Create new towns,OSADA
Create new towns,SETTLE    Create new towns,Stwórz nowe miasta
MAX CASTER,MAX CASTER|LEVEL,MAKS. POZIOM
LEVEL,MAX CASTER|LEVEL,CZARUJĄCEGO
DEXTERITY|SCORE,DEXTERITY|SCORE|BONUS,WAROTŚĆ|ZRĘCZNOŚCI
TURNS / REBUKES,TURNS / REBUKES PER DAY,ODPĘDZANIA / KARCENIA
PER DAY,TURNS / REBUKES PER DAY,NA DZIEŃ
Neutral:,Neutral: +2 Stability,Neutralny:
Stability,Neutral: +2 Stability,Stabilności
DC,DC 15,ST
WILL,WILL|SAVE DC,WOLA
WILL|SAVE,WILL|SAVE DC,Rz. Obr.|na WOLĘ
SAVE DC,WILL|SAVE DC,ST Rz. Obr
DC,WILL|SAVE DC,ST
WILL SAVE,WILL SAVE|DC,RZ. OBR. na WOLĘ
DC,WILL SAVE|DC,ST
FEAR EFFECT,FEAR EFFECTWILL BONUS,RZ. OBR. NA STRACH
WILL BONUS,FEAR EFFECTWILL BONUS,PREMIA DO WOLI
"economy,","+4 economy, -8 loyalty","ekonomii,"
loyalty,"+4 economy, -8 loyalty","lojalności,"
"economy,","+1 economy, -1 loyalty",ekonomii
loyalty,"+1 economy, -1 loyalty",lojalności
COMBAT|MANOEUVRE,COMBAT|MANOEUVRE|BONUS,MANEWRY|BOJOWE
BONUS,COMBAT|MANOEUVRE|BONUS,PREMIA
ATTACK,ATTACK|BONUS,ATAK
BONUS,ATTACK|BONUS,PREMIA
Death or Glory,"Death or Glory    +4 (+1 at levels 11, 16, 20)",Śmierć lub Chwała
"at levels 11, 16, 20)","Death or Glory    +4 (+1 at levels 11, 16, 20)","na 11, 16 i 20 poziomie)"
WILL,WILL SAVE DC,WOLA
SAVE DC,WILL SAVE DC,ST Rz. Obr.
WU JEN SPELLS,WU JEN SPELLS|KNOWN,CZARY WU JEN
KNOWN,WU JEN SPELLS|KNOWN,ZNANE
Greater Two-weapon Fighting,Greater Two-weapon Fighting    Third attack with your off-hand weapon,Lepsza Walka Dwoma Broniami
Third attack with your off-hand weapon,Greater Two-weapon Fighting    Third attack with your off-hand weapon,Trzeci atak twoją improwizowaną bronią
Sneaking Precision,Sneaking Precision    Apply a critical effect to the,Podstępna Precyzja
Apply a critical effect to the,Sneaking Precision    Apply a critical effect to the,Stosuje efekt krytyczny do
USES PER DAY,RESOLVE|USES PER DAY,UŻYĆ NA DZIEŃ
DURATION,AURA|DURATION,CZAS TRWANIA
RAGE,"Each alcoholic drink consumed results in|1 round of nausea after the end of your RAGE,|in addition to the normal fatigue.",SZAŁ
RAGE!,RAGE!|Modifier,SZAŁ!
Modifier,RAGE!|Modifier,MODYFIKATOR
Commands the army,"Commands the army – If vacant, -4 loyalty",Rozkazuje armii
"– If vacant,","Commands the army – If vacant, -4 loyalty",- Jeśli nieobecny
loyalty,"Commands the army – If vacant, -4 loyalty",lojalności
Duck and Cover,Duck and Cover    Take ally’s result on reflex save,Nisko i Ostrożnie
Take ally’s result on reflex save,Duck and Cover    Take ally’s result on reflex save,Przyjmij wynik testu na refleks sprzymierzeńca
Back to Back,Back to Back    +2 to AC against flanking,Plecy do Pleców
to,Back to Back    +2 to AC against flanking,do
AC,Back to Back    +2 to AC against flanking,KP
against flanking,Back to Back    +2 to AC against flanking,przeciwko flankowaniu
SNEAK DAMAGE,SNEAK DAMAGE|BONUS,PODSTĘPNY OBRAŻENIA
BONUS,SNEAK DAMAGE|BONUS,PREMIA
Slow Fall,Slow Fall 50 ft,Powolny Upadek
50 ft,Slow Fall 50 ft,15m
CHANNEL ENERGY,CHANNEL ENERGY PER DAY,KIERUNKOWANIE ENERGII
Coordinated Manoeuvres,Coordinated Manoeuvres    +2 to CMB,Skoordynowane Manewry
to,Coordinated Manoeuvres    +2 to CMB,do
CMB,Coordinated Manoeuvres    +2 to CMB,PMB
BASE ATTACK,BASE ATTACK BONUS,BAZOWA PREMIA
BONUS,BASE ATTACK BONUS,DO ATAKU
RAGE!,RAGE!|TODAY,SZAŁ!
TODAY,RAGE!|TODAY,DZIŚ
OPPOSED,OPPOSED SCHOOLS,PRZECIWNE
SCHOOLS,OPPOSED SCHOOLS,SZKOŁY
ATTACK,ATTACK ACTIONS,ATAK
ACTIONS,ATTACK ACTIONS,PREMIA
HEALING,HEALING HIT POINTS,LECZENIE
HIT POINTS,HEALING HIT POINTS,PW
No action this round|Lose,No action this round|Lose DEX bonus to AC; -2 AC,Brak akcji w tej rundzie|Traci
DEX,No action this round|Lose DEX bonus to AC; -2 AC,ZR
bonus to,No action this round|Lose DEX bonus to AC; -2 AC,premia do
bonus to AC; -2,No action this round|Lose DEX bonus to AC; -2 AC,premia do KP; -2
AC,No action this round|Lose DEX bonus to AC; -2 AC,KP
DURATION,SICKENED|DURATION,CZAS TRWANIA
Cleaving Finish,Cleaving Finish    Extra attack if enemy is knocked out,Rozszczepiający Finisz
Extra attack if enemy is knocked out,Cleaving Finish    Extra attack if enemy is knocked out,Dodatkowy atak jeśli przeciwnik jest ogłuszony.
Leads kingdom’s defences,"Leads kingdom’s defences – If vacant, -4 loyalty and -2 stability",Przewodzi obroną królestwa
"– If vacant,","Leads kingdom’s defences – If vacant, -4 loyalty and -2 stability",- Jeśli nieobecny
loyalty and,"Leads kingdom’s defences – If vacant, -4 loyalty and -2 stability",lojalności i
stability,"Leads kingdom’s defences – If vacant, -4 loyalty and -2 stability",stabilności
CHASTISE SPIRITS,CHASTISE SPIRITS|PER DAY,CHŁOSTANIE DUCHÓW
PER DAY,CHASTISE SPIRITS|PER DAY,NA DZIEŃ
REFLEX,REFLEX SAVE,REFLEKS
SAVE,REFLEX SAVE,Rz. Obr.
Treated as an Outsider,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/magic,Traktowany jako przybysz
Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/magic,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/magic,Odporny na Zauroczenie i inne efekty|działające na nie-przybyszów.|redukcja obrażeń 10/magia
Class|Skills,Class|Skills|+3,Umiejętności|Klasowe
(which grants,(which grants +12 to Acrobatics),zapewnia
to Acrobatics),(which grants +12 to Acrobatics),do Zwinności
FLURRY OF BLOWS,FLURRY OF BLOWS|BASE ATTACK BONUS,GRAD CIOSÓW
BASE ATTACK BONUS,FLURRY OF BLOWS|BASE ATTACK BONUS,BAZOWA PREMIA DO ATAKU
FAST HEALING,FAST HEALING|PER ROUND,SZYBKIE LECZENIE
PER ROUND,FAST HEALING|PER ROUND,NA RUNDĘ
SAVING THROW,SAVING THROW|PENALTY,RZUT OBRONNY
PENALTY,SAVING THROW|PENALTY,KARA
Enforce rural justice,"Enforce rural justice – If vacant, -4 economy",Egzekwuje sprawiedliwość na obszarach wiejskich
"– If vacant,","Enforce rural justice – If vacant, -4 economy",- Jeśli nieobecny
economy,"Enforce rural justice – If vacant, -4 economy",ekonomii
Icewalking,Icewalking|No movement penalty in icy terrain,Chodzenie po Lodzie
WILD EMPATHY,WILD EMPATHY BONUS,WIĘŹ Z DZICZOM
BONUS,WILD EMPATHY BONUS,PREMIA
DAMAGE,DAMAGE|BONUS,OBRAŻENIA
BONUS,DAMAGE|BONUS,PREMIA
MELEE DAMAGE,MELEE DAMAGE|BONUS,OBRAŻENIA W ZWARCIU
BONUS,MELEE DAMAGE|BONUS,PREMIA
Rapid shot,Rapid shot    Extra attack at full,Szybki strzał
Extra attack at full,Rapid shot    Extra attack at full,Dodatkowy atak z pełną premią
Bonus Spells,Bonus Spells|WIS,Czary Premiowe
WIS,Bonus Spells|WIS,RZT
MAX POWER,MAX POWER|LEVEL,MAKSYMALNA MOC
LEVEL,MAX POWER|LEVEL,POZIOM
AURAS,AURAS|PER DAY,AURY
PER DAY,AURAS|PER DAY,NA DZIEŃ
Treated as an Outsider,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,Traktowany jako Przybysz
Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,Odporny na Zauroczenie Osoby i inne efekty|które działają na nie-przybyszów.|Redukcja obrażeń
10/chaotic,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,10/chaos
Duration,RAGE|Duration,Czas Trwania
EXORCISM,EXORCISM |BONUS,EGZORCYZM
BONUS,EXORCISM |BONUS,PREMIA
STABILITY,"STABILITY   On success, -1 unrest or add 1bp; on failure, +1 unrest; on failure by 4, +d4 unrest",STABILNOŚĆ
"On success, -1 unrest or add 1bp; on failure, +1 unrest; on failure by 4, +d4 unrest","STABILITY   On success, -1 unrest or add 1bp; on failure, +1 unrest; on failure by 4, +d4 unrest",Sukces: -1 zamieszek lub +1pb; Porażka: +1 zamieszek; Porażka o ponad 4: +k4 zamieszek
"stability,","+1 stability, +1bp consumption","stabilności,"
+1bp,"+1 stability, +1bp consumption",+1pb
consumption,"+1 stability, +1bp consumption",konsumpcji
