Original,Part of,Translation
IMMUNE TO,IMMUNE TO|PARALYSIS,IMUNE A
PARALYSIS,IMMUNE TO|PARALYSIS,PARALISIAS
DC,DC BONUS,CD
BONUS,DC BONUS,BÔNUS
ENHANCEMENT,ENHANCEMENT|BONUS,MELHORIA
BONUS,ENHANCEMENT|BONUS,BÔNUS
EVIL DAMAGE,EVIL DAMAGE|BONUS,DANO MALIGNO
BONUS,EVIL DAMAGE|BONUS,BÔNUS
Damage Reduction 3/,Damage Reduction 3/―,Redução de Dano 3/
1d10,1d10 → 2d8 → 3d8 → 4d8 → 6d8 → 8d8 → 12d8,1d10
2d8,1d10 → 2d8 → 3d8 → 4d8 → 6d8 → 8d8 → 12d8,2d8
3d8,1d10 → 2d8 → 3d8 → 4d8 → 6d8 → 8d8 → 12d8,3d8
4d8,1d10 → 2d8 → 3d8 → 4d8 → 6d8 → 8d8 → 12d8,4d8
6d8,1d10 → 2d8 → 3d8 → 4d8 → 6d8 → 8d8 → 12d8,6d8
8d8,1d10 → 2d8 → 3d8 → 4d8 → 6d8 → 8d8 → 12d8,8d8
12d8,1d10 → 2d8 → 3d8 → 4d8 → 6d8 → 8d8 → 12d8,12d8
Fast Movement,Fast Movement +20 ft,Movimento Rápido
+20 ft,Fast Movement +20 ft,+6m
GREATER,GREATER RAGE!,FÚRIA
RAGE!,GREATER RAGE!,MAIOR!
to jump checks -,+20 to jump checks - 1 ki point,para testes de saltar -
1 ki point,+20 to jump checks - 1 ki point,1 ki ponto
MIGHTY,MIGHTY RAGE!,FÚRIA
RAGE!,MIGHTY RAGE!,PODEROSA!
DC,DC 25,CD
DODGE,DODGE|BONUS,ESQUIVA
BONUS,DODGE|BONUS,BÔNUS
30 ft / 6 sq,Default range increment|30 ft / 6 sq.,9m / 6 quad
(which grants,(which grants +12 to Acrobatics checks for jumping),(concede
to Acrobatics checks for jumping),(which grants +12 to Acrobatics checks for jumping),para testes de acrobacias e saltar)
KNOWLEDGE,KNOWLEDGE |BONUS,CONHECIMENTO
BONUS,KNOWLEDGE |BONUS,BÔNUS
COMBAT MANOEUVRE,COMBAT MANOEUVRE|DEFENCE,MANOBRA DE COMBATE
DEFENCE,COMBAT MANOEUVRE|DEFENCE,DEFENCIVA
MOUNTAIN,MOUNTAIN|BONUS,MONTANHA
BONUS,MOUNTAIN|BONUS,BÔNUS
Good:,Good: +2 Loyalty,Bom
Loyalty,Good: +2 Loyalty,Leal
RAGE!,RAGE! POWERS |KNOWN,FÚRIA!
POWERS,RAGE! POWERS |KNOWN,PODERES
