Original,Part of,Translation
(which grants,(which grants +20 to Acrobatics checks for jumping),(el cual otorga
to Acrobatics checks for jumping),(which grants +20 to Acrobatics checks for jumping),a pruebas de Acrobacia para saltar)
Point Blank Shot,Point Blank Shot    +1 to attack and damage within first range increment,Disparo a bocajarro
+1 to attack and damage within first range increment,Point Blank Shot    +1 to attack and damage within first range increment,+1 al taque y daño dentro del primer incremento rango
BONUS,EXPERTISE|BONUS,BONUS
AC,"Allows you to make an extra attack at your full bonus, |but take a -2 penalty to attack rolls and -4 to AC until |your next turn",CA
"stability,","+1 stability, +1bp consumption","Estabilidad,"
+1bp,"+1 stability, +1bp consumption",+1bp
consumption,"+1 stability, +1bp consumption",consumo
Level,25’+ 5’ × (Level ÷ 2),Nivel
TRAP SENSE,TRAP SENSE|REFLEX BONUS,BONUS REFLEJOS
REFLEX BONUS,TRAP SENSE|REFLEX BONUS,SENTIDO DE TRAMPAS
Penetrating Strike,Penetrating Strike    Ignore damage reduction up to    5/—,Ataque penetrante
Ignore damage reduction up to,Penetrating Strike    Ignore damage reduction up to    5/—,Ignora RD hasta 
SHARE FAVOURED ENEMY,SHARE FAVOURED ENEMY|DURATION,COMPARTIR ENEMIGO PREDILECTO
DURATION,SHARE FAVOURED ENEMY|DURATION,DURACIÓN
BREATH WEAPON,BREATH WEAPON|DAMAGE,ARMA DE ALIENTO
DAMAGE,BREATH WEAPON|DAMAGE,DAÑO
BONUS,WILD SURGE|BONUS,BONUS
Back to Back,Back to Back    +2 to AC against flanking,Espalda con Espalda
to,Back to Back    +2 to AC against flanking,a
AC,Back to Back    +2 to AC against flanking,CA
against flanking,Back to Back    +2 to AC against flanking,contra flanqueo
IMTIMIDATE,IMTIMIDATE|BONUS,INTIMIDAR
BONUS,IMTIMIDATE|BONUS,BONUS
Precise shot,Precise shot    No penalty firing into melee,Disparo preciso
No penalty firing into melee,Precise shot    No penalty firing into melee,Sin penalizador al atacar enemigo en combate
Dexterity Score|Penalty:,Dexterity Score|Penalty: -2,Penaliz. Punt.|Destreza:
Timeless Body,"Timeless Body|No longer age, cannot be magically aged",Cuerpo Eterno
"No longer age, cannot be magically aged","Timeless Body|No longer age, cannot be magically aged","No envejece, no puede envejecer mágicamente"
LEVEL,MAX POWER|LEVEL,NIVEL
DURATION,BREATH|DURATION,DURACIÓN
TAKE 20,TAKE 20|PER DAY,ELEGIR 20
PER DAY,TAKE 20|PER DAY,AL DÍA
"Baron, Duke, King or Queen","Baron, Duke, King or Queen – If vacant, kingdom fails all command rolls and cannot claim or develop hexes","Barón, Duque, Rey o Reina"
"– If vacant, kingdom fails all command rolls and cannot claim or develop hexes","Baron, Duke, King or Queen – If vacant, kingdom fails all command rolls and cannot claim or develop hexes","- Si está vacante, el Reino falla todas las pruebas de comando y no puede reclamar o desarrollas hexágonos"
Fast Movement,Fast Movement +60 ft,Movimiento Rápido
+60 ft,Fast Movement +60 ft,+60'
Allied Spellcaster,Allied Spellcaster    +2 to overcome spell resistance,Lanzador de Conjuros Aliado
to overcome spell resistance,Allied Spellcaster    +2 to overcome spell resistance,para superar la resistencia a conjuros
OR,SPELLBANE OR CURSEBREAKER|PER DAY,O
PER DAY,SPELLBANE OR CURSEBREAKER|PER DAY,AL DÍA
HEALING,SPIRIT|HEALING,CURACIÓN
Liases with the people,"Liases with the people – If vacant, -2 loyalty, +1 unrest at upkeep and no bonus from festivals",Coopera con la gente
"– If vacant,","Liases with the people – If vacant, -2 loyalty, +1 unrest at upkeep and no bonus from festivals","- Si vacante,"
"loyalty,","Liases with the people – If vacant, -2 loyalty, +1 unrest at upkeep and no bonus from festivals","lealtad,"
