Original,Part of,Translation
BASE ATTACK,BASE ATTACK|BONUS,BASE ATTACK
BONUS,BASE ATTACK|BONUS,BONUS
"to Strength, Dexterity and Wisdom score","+2 to Strength, Dexterity and Wisdom score","to Strength, Dexterity, and Wisdom score"
Use,Use INT in place of WIS on Will saves for this round.,Use
INT,Use INT in place of WIS on Will saves for this round.,INT
in place of,Use INT in place of WIS on Will saves for this round.,in place of
WIS,Use INT in place of WIS on Will saves for this round.,WIS
on Will saves for this round.,Use INT in place of WIS on Will saves for this round.,on Will saves for this round.
JUNGLE,JUNGLE|BONUS,JUNGLE
BONUS,JUNGLE|BONUS,BONUS
MIND BLADE,MIND BLADE|DURATION,MIND BLADE
DURATION,MIND BLADE|DURATION,DURATION
UNARMED STRIKE,UNARMED STRIKE DAMAGE ROLL,UNARMED STRIKE
DAMAGE ROLL,UNARMED STRIKE DAMAGE ROLL,DAMAGE ROLL
Heal your own wounds -,Heal your own wounds - 2 ki points,Heal your own wounds -
2 ki points,Heal your own wounds - 2 ki points,2 ki points
DEFLECTION,DEFLECTION|BONUS,DEFLECTION
BONUS,DEFLECTION|BONUS,BONUS
Maximise Spell,Maximise Spell  +3,Maximize Spell
SPEED,SPEED BONUS,SPEED
BONUS,SPEED BONUS,BONUS
Wild Shape,Wild Shape|Become any small or medium animal or vermin,Wild Shape
Become any small or medium animal or vermin,Wild Shape|Become any small or medium animal or vermin,Become any small or medium animal or vermin
INSTANT METAMAGIC,INSTANT METAMAGIC|USES PER DAY,INSTANT METAMAGIC
USES PER DAY,INSTANT METAMAGIC|USES PER DAY,USES PER DAY
WILL SAVE,WILL SAVE|DC,WILL SAVE
DC,WILL SAVE|DC,DC
"If this attack of opportunity hits, gain a +2 circumstance |bonus to your","If this attack of opportunity hits, gain a +2 circumstance |bonus to your CMD to avoid the grapple.","If this attack of opportunity hits, gain a +2 circumstance |bonus to your"
CMD,"If this attack of opportunity hits, gain a +2 circumstance |bonus to your CMD to avoid the grapple.",CMD
to avoid the grapple.,"If this attack of opportunity hits, gain a +2 circumstance |bonus to your CMD to avoid the grapple.",to avoid the grapple.
Fast Movement,Fast Movement +30 ft,Fast Movement
+30 ft,Fast Movement +30 ft,+30 ft
Enter a coma and project yourself to the astral plane as if|using,Enter a coma and project yourself to the astral plane as if|using astral projection.,Enter a coma and project yourself to the astral plane as if|using
astral projection,Enter a coma and project yourself to the astral plane as if|using astral projection.,astral projection
BASE|ATTACK,BASE|ATTACK|BONUS,BASE|ATTACK
BONUS,BASE|ATTACK|BONUS,BONUS
ARMOR CHECK|PENALTY,ARMOR CHECK|PENALTY|REDUCTION,ARMOR CHECK|PENALTY
REDUCTION,ARMOR CHECK|PENALTY|REDUCTION,REDUCTION
Bleeding Wound,"Bleeding Wound    Bleed damage equal to DEXAlternatively, 1 pt Strength, Dexterity or Constitution damage",Bleeding Wound
"Bleed damage equal to DEXAlternatively, 1 pt Strength, Dexterity or Constitution damage","Bleeding Wound    Bleed damage equal to DEXAlternatively, 1 pt Strength, Dexterity or Constitution damage","Bleed damage equal to DEXAlternatively, 1 pt Strength, Dexterity or Constitution damage"
Good:,Good: +2 Loyalty,Good:
Loyalty,Good: +2 Loyalty,Loyalty
"If anyone within 30ft of self or twin is shaken, frightened or|panicked, twin gains the effects of","If anyone within 30ft of self or twin is shaken, frightened or|panicked, twin gains the effects of Form of Doom","If anyone within 30ft of self or twin is shaken, frightened or|panicked, twin gains the effects of"
Form of Doom,"If anyone within 30ft of self or twin is shaken, frightened or|panicked, twin gains the effects of Form of Doom",Form of Doom
Natural Armour,Natural Armour +2,Natural Armor
ENHANCEMENT,ENHANCEMENT|BONUS,ENHANCEMENT
BONUS,ENHANCEMENT|BONUS,BONUS
PANACHE,PANACHE|PER DAY,PANACHE
PER DAY,PANACHE|PER DAY,PER DAY
Treated as an Outsider,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,Treated as an Outsider
Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction
Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic
10/chaotic,Treated as an Outsider|Immune to Charm Person and other effects that|target non-outsiders.|Damage reduction 10/chaotic,10/chaotic
ARMOUR CLASS,ARMOUR CLASS|BONUS,ARMOR CLASS
BONUS,ARMOUR CLASS|BONUS,BONUS
(which grants,(which grants +8 to Acrobatics checks for jumping),(which grants
to Acrobatics checks for jumping),(which grants +8 to Acrobatics checks for jumping),to Acrobatics checks for jumping)
CASTER LEVEL,CASTER LEVEL|CHECK DC,CASTER LEVEL
CHECK DC,CASTER LEVEL|CHECK DC,CHECK DC
IMMUNE TO,IMMUNE TO|FEAR,IMMUNE TO
FEAR,IMMUNE TO|FEAR,FEAR
SAILOR’S,SAILOR’S BONUS,SAILOR’S
BONUS,SAILOR’S BONUS,BONUS
CASTER,CASTER|LEVEL DC,CASTER
LEVEL DC,CASTER|LEVEL DC,LEVEL DC
Natural Armour,Natural Armour +4,Natural Armor
"loyalty,","+3 loyalty, +4bp consumption","loyalty,"
+4bp,"+3 loyalty, +4bp consumption",+4bp
consumption,"+3 loyalty, +4bp consumption",consumption
Resurrect a target -,Resurrect a target - all your kit points,Resurrect a target -
all your kit points,Resurrect a target - all your kit points,all your kit points
Enthrall,Enthrall   Captivate all within 100ft + 10ft/lv,Enthrall
Captivate all within 100ft + 10ft/lv,Enthrall   Captivate all within 100ft + 10ft/lv,Captivate all within 100ft + 10ft/lv
KI POWER,KI POWER|SAVE DC,KI POWER
SAVE DC,KI POWER|SAVE DC,SAVE DC
Mystic Null,Mystic Null|Unlimited spellbane|uses per day,Mystic Null
Unlimited spellbane|uses per day,Mystic Null|Unlimited spellbane|uses per day,Unlimited spellbane|uses per day
loyalty,+1 loyalty,loyalty
Alertness,Alertness *|Improved Evasion|Self-propulsion|Shared Powers|Sighted|Telepathic Link,Alertness
Improved Evasion|Self-propulsion|Shared Powers|Sighted|Telepathic Link,Alertness *|Improved Evasion|Self-propulsion|Shared Powers|Sighted|Telepathic Link,Improved Evasion|Self-propulsion|Shared Powers|Sighted|Telepathic Link
Mighty,Mighty BLOODRAGE!,Mighty
BLOODRAGE!,Mighty BLOODRAGE!,BLOODRAGE!
"On entering an anti-psionic area, pass a Will Save (","On entering an anti-psionic area, pass a Will Save (DC 20)|to keep your mind blade active for this duration:","On entering an anti-psionic area, pass a Will Save ("
DC 20,"On entering an anti-psionic area, pass a Will Save (DC 20)|to keep your mind blade active for this duration:",DC 20
)|to keep your mind blade active for this duration:,"On entering an anti-psionic area, pass a Will Save (DC 20)|to keep your mind blade active for this duration:",20 )|to keep your mind blade active for this duration:
Wild Empathy,Wild Empathy|Improve the attitude of an animal,Wild Empathy
Improve the attitude of an animal,Wild Empathy|Improve the attitude of an animal,Improve the attitude of an animal
Arctic Endurance,"Arctic Endurance|Endure cold, immune to dazzling",Arctic Endurance
"Endure cold, immune to dazzling","Arctic Endurance|Endure cold, immune to dazzling","Endure cold, immune to dazzling"
"Prince, Princess or favoured subject","Prince, Princess or favoured subject – May rule if the Ruler is absent. but must pass loyalty check or +1 unrest","Prince, Princess or favored subject"
– May rule if the Ruler is absent. but must pass loyalty check or,"Prince, Princess or favoured subject – May rule if the Ruler is absent. but must pass loyalty check or +1 unrest",– May rule if the Ruler is absent. but must pass loyalty check or unrest
unrest,"Prince, Princess or favoured subject – May rule if the Ruler is absent. but must pass loyalty check or +1 unrest",unrest
IMMUNE TO,IMMUNE TO|STRENGTH EFFECTS,IMMUNE TO
STRENGTH EFFECTS,IMMUNE TO|STRENGTH EFFECTS,STRENGTH EFFECTS
Slow Fall,Slow Fall 50 ft,Slow Fall
50 ft,Slow Fall 50 ft,50 ft
"All dead allies within 50ft are revived, as if the subject ofa","All dead allies within 50ft are revived, as if the subject ofa True Resurrection.|The monk is utterly destroyed, and can never be revived.|His name can never be spoken or written down again,|all all written mentions of his name become blank.","All dead allies within 50ft are revived, as if the subject ofa"
True Resurrection,"All dead allies within 50ft are revived, as if the subject ofa True Resurrection.|The monk is utterly destroyed, and can never be revived.|His name can never be spoken or written down again,|all all written mentions of his name become blank.",True Resurrection
".|The monk is utterly destroyed, and can never be revived.|His name can never be spoken or written down again,|all all written mentions of his name become blank.","All dead allies within 50ft are revived, as if the subject ofa True Resurrection.|The monk is utterly destroyed, and can never be revived.|His name can never be spoken or written down again,|all all written mentions of his name become blank.",".|The monk is utterly destroyed, and can never be revived.|His name can never be spoken or written down again,|and all written mentions of his name become blank."
Back to Back,Back to Back     +2 to AC against flanking,Back to Back
to,Back to Back     +2 to AC against flanking,to
AC,Back to Back     +2 to AC against flanking,AC
against flanking,Back to Back     +2 to AC against flanking,against flanking
SLA Save DC = 10 +,SLA Save DC = 10 + CHA + Spell Level,SLA Save DC = 10 +
CHA,SLA Save DC = 10 + CHA + Spell Level,CHA
+ Spell Level,SLA Save DC = 10 + CHA + Spell Level,+ Spell Level
WILL,WILL|SAVE DC,WILL
WILL|SAVE,WILL|SAVE DC,WILL|SAVE
SAVE DC,WILL|SAVE DC,SAVE DC
DC,WILL|SAVE DC,DC
Bonus Spells,Bonus Spells|CHA,Bonus Spells
CHA,Bonus Spells|CHA,CHA
Enhance weapon -,Enhance weapon - 1 ki point per enhancement,Enhance weapon -
1 ki point,Enhance weapon - 1 ki point per enhancement,1 ki point
per enhancement,Enhance weapon - 1 ki point per enhancement,per enhancement
DISPLACEMENT,DISPLACEMENT|DURATION,DISPLACEMENT
DURATION,DISPLACEMENT|DURATION,DURATION
RAGE!,RAGE! POWERS,RAGE!
POWERS,RAGE! POWERS,POWERS
Point-blank shot,Point-blank shot    Within 30ft,Point-blank shot
Within,Point-blank shot    Within 30ft,Within
30ft,Point-blank shot    Within 30ft,30ft
ft,10 ft  2 sq,ft
sq,10 ft  2 sq,sq
Charm Person,Charm Person 2/day,Charm Person
2/day,Charm Person 2/day,2/day
FLAT-FOOTED,FLAT-FOOTED|CMD,FLAT-FOOTED
CMD,FLAT-FOOTED|CMD,CMD
CHAKRA,CHAKRA|BINDS,CHAKRA
BINDS,CHAKRA|BINDS,BINDS
POWER POINTS,POWER POINTS|MAX COST,POWER POINTS
MAX COST,POWER POINTS|MAX COST,MAX COST
Wild Empathy and Handle Animal with your animal companions,+2 Wild Empathy and Handle Animal with your animal companions,Wild Empathy and Handle Animal with your animal companions
Totemic Summons,"Totemic Summons|Summon your totem creature as a standardaction, with extra temporary hit points",Totemic Summons
"Summon your totem creature as a standardaction, with extra temporary hit points","Totemic Summons|Summon your totem creature as a standardaction, with extra temporary hit points","Summon your totem creature as a standardaction, with extra temporary hit points"
Spirit form,Spirit form  3 /day; Spirit who walks,Spirit form
3 /day,Spirit form  3 /day; Spirit who walks,3 / day
; Spirit who walks,Spirit form  3 /day; Spirit who walks,; Spirit who walks
RAGE,RAGE|Duration,RAGE
Duration,RAGE|Duration,Duration
on check,-10|on check,on check
�ever suffer an evil outsider to live if |it is in your power to destroy it.|�anish,�ever suffer an evil outsider to live if |it is in your power to destroy it.|�anish  �ends you cannot kill. �urge the |evil from those possessed by  �ends.,�ever suffer an evil outsider to live if |it is in your power to destroy it.|�anish
ends you cannot kill. �urge the |evil from those possessed by,�ever suffer an evil outsider to live if |it is in your power to destroy it.|�anish  �ends you cannot kill. �urge the |evil from those possessed by  �ends.,ends you cannot kill. �urge the |evil from those possessed by
ends.,�ever suffer an evil outsider to live if |it is in your power to destroy it.|�anish  �ends you cannot kill. �urge the |evil from those possessed by  �ends.,ends.
HEALING POINTS,HEALING POINTS|PER DAY,HEALING POINTS
PER DAY,HEALING POINTS|PER DAY,PER DAY
"stability,","+2 stability, +2bp consumption","stability,"
+2bp,"+2 stability, +2bp consumption",+2bp
consumption,"+2 stability, +2bp consumption",consumption
RESISTANCE,RESISTANCE|DURATION,RESISTANCE
DURATION,RESISTANCE|DURATION,DURATION
Greater Penetrating Strike,Greater Penetrating Strike    Ignore damage reduction up to    10/—,Greater Penetrating Strike
Ignore damage reduction up to,Greater Penetrating Strike    Ignore damage reduction up to    10/—,Ignore damage reduction up to
Nerf,Nerf -1,Nerf
dominion,dominion|wyrdcaster,dominion
wyrdcaster,dominion|wyrdcaster,wyrdcaster
Nightsight,"Nightsight|Low light vision, or darkvision 30ft",Nightsight
"Low light vision, or darkvision 30ft","Nightsight|Low light vision, or darkvision 30ft","Low light vision, or darkvision 30ft"
Damage,Damage +2d6 to good/evil creatures,Damage
+2d6,Damage +2d6 to good/evil creatures,+2d6
to good/evil creatures,Damage +2d6 to good/evil creatures,to good/evil creatures
Scent 30ft,"Scent 30ft| • Detect enemies, determine direction as a move action| • Track creatures using Survival| • Range of 30ft, or 60ft downwind, 15ft upwind;strong smells double range, overpowering smells triple",Scent 30ft
30ft,"Scent 30ft| • Detect enemies, determine direction as a move action| • Track creatures using Survival| • Range of 30ft, or 60ft downwind, 15ft upwind;strong smells double range, overpowering smells triple",30ft
"• Detect enemies, determine direction as a move action| • Track creatures using Survival| • Range of","Scent 30ft| • Detect enemies, determine direction as a move action| • Track creatures using Survival| • Range of 30ft, or 60ft downwind, 15ft upwind;strong smells double range, overpowering smells triple","30ft • Detect enemies, determine direction as a move action| • Track creatures using Survival| • Range of"
", or","Scent 30ft| • Detect enemies, determine direction as a move action| • Track creatures using Survival| • Range of 30ft, or 60ft downwind, 15ft upwind;strong smells double range, overpowering smells triple",", or"
60ft,"Scent 30ft| • Detect enemies, determine direction as a move action| • Track creatures using Survival| • Range of 30ft, or 60ft downwind, 15ft upwind;strong smells double range, overpowering smells triple",60ft
"downwind,","Scent 30ft| • Detect enemies, determine direction as a move action| • Track creatures using Survival| • Range of 30ft, or 60ft downwind, 15ft upwind;strong smells double range, overpowering smells triple","downwind,"
15ft,"Scent 30ft| • Detect enemies, determine direction as a move action| • Track creatures using Survival| • Range of 30ft, or 60ft downwind, 15ft upwind;strong smells double range, overpowering smells triple",15ft
"upwind;strong smells double range, overpowering smells triple","Scent 30ft| • Detect enemies, determine direction as a move action| • Track creatures using Survival| • Range of 30ft, or 60ft downwind, 15ft upwind;strong smells double range, overpowering smells triple","upwind;strong smells double range, overpowering smells triple"
RAGE!,RAGE! DURATION,RAGE!
DURATION,RAGE! DURATION,DURATION
Coordinated Manoeuvres,Coordinated Manoeuvres    +2 to CMB,Coordinated Maneuvers
to,Coordinated Manoeuvres    +2 to CMB,to
CMB,Coordinated Manoeuvres    +2 to CMB,CMB
Walk the Lines,Walk the Lines|Transport any distance via plants,Walk the Lines
Transport any distance via plants,Walk the Lines|Transport any distance via plants,Transport any distance via plants
Natural Armour,Natural Armour +1,Natural Armor
STRENTH|SCORE,STRENTH|SCORE|BONUS,STRENGTH|SCORE
BONUS,STRENTH|SCORE|BONUS,BONUS
CHANGE,CHANGE|AURAS,CHANGE
AURAS,CHANGE|AURAS,AURAS
DESERT,DESERT|BONUS,DESERT
BONUS,DESERT|BONUS,BONUS
Lawful:,Lawful: +2 Economy,Lawful:
Economy,Lawful: +2 Economy,Economy
CONFUSION,CONFUSION|DURATION,CONFUSION
DURATION,CONFUSION|DURATION,DURATION
Precise Shot,Precise Shot    Attack into melee without the -4 penalty,Precise Shot
Attack into melee without the -4 penalty,Precise Shot    Attack into melee without the -4 penalty,Attack into melee without the -4 penalty
Drunken Strength,Drunken Strength 1d6,Drunken Strength
1d6,Drunken Strength 1d6,1d6
Resist Nature’s Lure,Resist Nature’s Lure|+4 to saves against the fey and plants,Resist Nature’s Lure
+4 to saves against the fey and plants,Resist Nature’s Lure|+4 to saves against the fey and plants,+4 to saves against the fey and plants
Greater Two-weapon Fighting,Greater Two-weapon Fighting    Third attack with your off-hand weapon,Greater Two-weapon Fighting
Third attack with your off-hand weapon,Greater Two-weapon Fighting    Third attack with your off-hand weapon,Third attack with your off-hand weapon
Point Blank Shot,Point Blank Shot    +1 to attack and damage within 30ft,Point Blank Shot
+1 to attack and damage within 30ft,Point Blank Shot    +1 to attack and damage within 30ft,+1 to attack and damage within 30ft
(which grants,(which grants +4 to Acrobatics checks for jumping),(which grants
to Acrobatics checks for jumping),(which grants +4 to Acrobatics checks for jumping),to Acrobatics checks for jumping)
NIMBLE,NIMBLE|DODGE BONUS,NIMBLE
DODGE BONUS,NIMBLE|DODGE BONUS,DODGE BONUS
Damage Reduction 2/,Damage Reduction 2/―,Damage Reduction 2/
Unnerve non-sentient beings; Charm Person,Unnerve non-sentient beings; Charm Person 1/day,Unnerve non-sentient beings; Charm Person
1/day,Unnerve non-sentient beings; Charm Person 1/day,1/day
1d4,"1d4 negative levels, 1 round",1d4
"negative levels, 1 round","1d4 negative levels, 1 round","negative levels, 1 round"
Menacing Shot,Menacing Shot    Shoot into the air to inspire fear within 30ft,Menacing Shot
Shoot into the air to inspire fear within 30ft,Menacing Shot    Shoot into the air to inspire fear within 30ft,Shoot into the air to inspire fear within 30ft
Swooping Charge,"Swooping Charge  DC 20|The bird flies to a high vantage point, then next round makes a charge attack. If successful, this deals|2d4 damage from a bite, with a ×4 critical modifier, and the target is staggered for a round.",Swooping Charge
